Not using distributed mode
git:
  sha: 85b8696e6a0ce62526bd5f21358c671dcf69dc24, status: has uncommited changes, branch: main

Namespace(aux_loss=True, backbone='resnet101', batch_size=16, bbox_loss_coef=5, clip_max_norm=0.1, coco_panoptic_path=None, coco_path='/data/sundeep/Point-Beyond-Class/data/RSNA/cocoAnn/50p', cons_loss=False, cons_loss_coef=10, data_augment=True, dataset_file='rsna', dec_layers=6, device='cuda', dice_loss_coef=1, dilation=False, dim_feedforward=2048, dist_url='env://', distributed=False, dropout=0.1, enc_layers=6, eos_coef=0.1, epochs=111, eval=False, frozen_weights=None, generate_pseudo_bbox=False, giou_loss_coef=2, hidden_dim=256, load_from='', lr=0.0001, lr_backbone=1e-05, lr_drop=[72, 96], mask_loss_coef=1, masks=False, nheads=8, num_queries=100, num_workers=16, output_dir='/data/sundeep/Point-Beyond-Class/Output/outfiles/models/RSNA/exp4_stage1_data50p_1pts_Erase20_jit005_unlabelLossL2Loss50_Load2ptsconsPth_resnet101', partial=50, position_embedding='v4', pre_norm=True, remove_difficult=False, resume='', sample_points_num=1, save_csv=None, save_evaltxt_forDraw=False, seed=42, set_cost_bbox=5, set_cost_class=1, set_cost_giou=2, start_epoch=0, start_sample_UnSupImg=80, train_with_unlabel_imgs=True, unlabel_cons_loss_coef=50.0, val_data='val', weight_decay=0.0001, world_size=1)
weight dict ..  {'loss_ce': 1, 'loss_bbox': 5, 'loss_giou': 2, 'loss_unlabelcons': 50.0, 'loss_ce_0': 1, 'loss_bbox_0': 5, 'loss_giou_0': 2, 'loss_unlabelcons_0': 50.0, 'loss_ce_1': 1, 'loss_bbox_1': 5, 'loss_giou_1': 2, 'loss_unlabelcons_1': 50.0, 'loss_ce_2': 1, 'loss_bbox_2': 5, 'loss_giou_2': 2, 'loss_unlabelcons_2': 50.0, 'loss_ce_3': 1, 'loss_bbox_3': 5, 'loss_giou_3': 2, 'loss_unlabelcons_3': 50.0, 'loss_ce_4': 1, 'loss_bbox_4': 5, 'loss_giou_4': 2, 'loss_unlabelcons_4': 50.0}
number of params: 60233992
dataset path: 
 /data/sundeep/Point-Beyond-Class/data/RSNA/cocoAnn/50p/instances_trainBox.json
loading annotations into memory...
Done (t=0.02s)
creating index...
index created!
=====> training with unlabeled imgs (point annotation)
loading annotations into memory...
Done (t=0.07s)
creating index...
index created!
=====> /data/sundeep/Point-Beyond-Class/data/RSNA/cocoAnn/100p/instances_trainBox.json
sample points num ..  1
dataset path: 
 /data/sundeep/Point-Beyond-Class/data/RSNA/cocoAnn/50p/../instances_val.json
loading annotations into memory...
Done (t=0.01s)
creating index...
index created!
sample points num ..  1
training data:
num:  4809
sample:  5 (tensor([[[-1.9809, -1.9809, -1.9809,  ..., -2.0494, -2.0665, -2.1008],
         [-1.9638, -1.9638, -1.9638,  ..., -2.0323, -2.0665, -2.1008],
         [-1.9809, -1.9809, -1.9809,  ..., -2.0323, -2.0494, -2.0837],
         ...,
         [ 0.6563,  0.7248,  0.7077,  ..., -1.9467, -1.9295, -2.0494],
         [ 0.6049,  0.6734,  0.6563,  ..., -1.9295, -1.9467, -2.0494],
         [-0.7650, -0.7650, -0.7650,  ..., -2.0152, -2.0323, -2.0837]],

        [[-1.8957, -1.8957, -1.8957,  ..., -1.9657, -1.9832, -2.0182],
         [-1.8782, -1.8782, -1.8782,  ..., -1.9482, -1.9832, -2.0182],
         [-1.8957, -1.8957, -1.8957,  ..., -1.9482, -1.9657, -2.0007],
         ...,
         [ 0.8004,  0.8704,  0.8529,  ..., -1.8606, -1.8431, -1.9657],
         [ 0.7479,  0.8179,  0.8004,  ..., -1.8431, -1.8606, -1.9657],
         [-0.6527, -0.6527, -0.6527,  ..., -1.9307, -1.9482, -2.0007]],

        [[-1.6650, -1.6650, -1.6650,  ..., -1.7347, -1.7522, -1.7870],
         [-1.6476, -1.6476, -1.6476,  ..., -1.7173, -1.7522, -1.7870],
         [-1.6650, -1.6650, -1.6650,  ..., -1.7173, -1.7347, -1.7696],
         ...,
         [ 1.0191,  1.0888,  1.0714,  ..., -1.6302, -1.6127, -1.7347],
         [ 0.9668,  1.0365,  1.0191,  ..., -1.6127, -1.6302, -1.7347],
         [-0.4275, -0.4275, -0.4275,  ..., -1.6999, -1.7173, -1.7696]]]), {'labels': tensor([1, 1]), 'object_ids': tensor([0, 1]), 'points': tensor([[0.3183, 0.2749],
        [0.5916, 0.6803]])}, {'boxes': tensor([[0.2310, 0.5317, 0.3096, 0.5264],
        [0.6040, 0.5762, 0.2510, 0.4512]])}, '000000.jpg', False)
====================================================================================================
using MyBalancedSampler and  50\% data.
====================================================================================================
Start training (Hypothesis 1: ResNet101 backbone)
epoch imgs: 4800
Epoch: [0]  [  0/300]  eta: 0:12:41  lr: 0.000100  loss: 5.1256 (5.1256)  loss_bbox: 3.1487 (3.1487)  loss_giou: 1.6522 (1.6522)  loss_unlabelcons: 0.3247 (0.3247)  time: 2.5372  data: 1.4830  max mem: 7856
Epoch: [0]  [ 10/300]  eta: 0:05:44  lr: 0.000100  loss: 3.6951 (3.8108)  loss_bbox: 2.1039 (2.1968)  loss_giou: 1.4706 (1.4642)  loss_unlabelcons: 0.1338 (0.1498)  time: 1.1888  data: 0.1522  max mem: 9197
Epoch: [43]  [180/300]  eta: 0:02:01  lr: 0.000100  loss: 2.7176 (2.6909)  loss_bbox: 1.3791 (1.4038)  loss_giou: 1.2598 (1.2342)  loss_unlabelcons: 0.0512 (0.0529)  time: 0.9700  data: 0.0357  max mem: 10468
Epoch: [43]  [190/300]  eta: 0:01:51  lr: 0.000100  loss: 2.7248 (2.6898)  loss_bbox: 1.4043 (1.4024)  loss_giou: 1.2598 (1.2350)  loss_unlabelcons: 0.0504 (0.0524)  time: 0.9502  data: 0.0233  max mem: 10468
Epoch: [43]  [200/300]  eta: 0:01:40  lr: 0.000100  loss: 2.6510 (2.6874)  loss_bbox: 1.3649 (1.4028)  loss_giou: 1.2179 (1.2324)  loss_unlabelcons: 0.0462 (0.0522)  time: 0.9879  data: 0.0241  max mem: 10468
Epoch: [43]  [210/300]  eta: 0:01:31  lr: 0.000100  loss: 2.5391 (2.6810)  loss_bbox: 1.3649 (1.3995)  loss_giou: 1.1777 (1.2299)  loss_unlabelcons: 0.0385 (0.0516)  time: 1.0410  data: 0.0265  max mem: 10468
Epoch: [43]  [220/300]  eta: 0:01:20  lr: 0.000100  loss: 2.4948 (2.6802)  loss_bbox: 1.2885 (1.3999)  loss_giou: 1.1690 (1.2292)  loss_unlabelcons: 0.0366 (0.0512)  time: 1.0100  data: 0.0243  max mem: 10468
Epoch: [43]  [230/300]  eta: 0:01:10  lr: 0.000100  loss: 2.5909 (2.6779)  loss_bbox: 1.3269 (1.3985)  loss_giou: 1.1768 (1.2284)  loss_unlabelcons: 0.0373 (0.0510)  time: 0.9776  data: 0.0347  max mem: 10468
Epoch: [43]  [240/300]  eta: 0:01:00  lr: 0.000100  loss: 2.6279 (2.6830)  loss_bbox: 1.3513 (1.4022)  loss_giou: 1.1952 (1.2303)  loss_unlabelcons: 0.0388 (0.0506)  time: 0.9734  data: 0.0249  max mem: 10468
Epoch: [43]  [250/300]  eta: 0:00:50  lr: 0.000100  loss: 2.6385 (2.6809)  loss_bbox: 1.3596 (1.4011)  loss_giou: 1.2017 (1.2294)  loss_unlabelcons: 0.0388 (0.0504)  time: 0.8972  data: 0.0235  max mem: 10468
Epoch: [43]  [260/300]  eta: 0:00:39  lr: 0.000100  loss: 2.5942 (2.6792)  loss_bbox: 1.3690 (1.3997)  loss_giou: 1.1783 (1.2287)  loss_unlabelcons: 0.0494 (0.0507)  time: 0.8824  data: 0.0386  max mem: 10468
Epoch: [43]  [270/300]  eta: 0:00:29  lr: 0.000100  loss: 2.6740 (2.6850)  loss_bbox: 1.3941 (1.4048)  loss_giou: 1.1900 (1.2300)  loss_unlabelcons: 0.0446 (0.0503)  time: 0.9147  data: 0.0270  max mem: 10468
Epoch: [43]  [280/300]  eta: 0:00:19  lr: 0.000100  loss: 2.7305 (2.6880)  loss_bbox: 1.4367 (1.4083)  loss_giou: 1.2130 (1.2295)  loss_unlabelcons: 0.0394 (0.0501)  time: 0.8835  data: 0.0237  max mem: 10468
Epoch: [43]  [290/300]  eta: 0:00:09  lr: 0.000100  loss: 2.6755 (2.6873)  loss_bbox: 1.3818 (1.4080)  loss_giou: 1.2130 (1.2289)  loss_unlabelcons: 0.0520 (0.0504)  time: 0.9022  data: 0.0259  max mem: 10468
Epoch: [43]  [299/300]  eta: 0:00:00  lr: 0.000100  loss: 2.5813 (2.6840)  loss_bbox: 1.3177 (1.4043)  loss_giou: 1.2371 (1.2290)  loss_unlabelcons: 0.0573 (0.0507)  time: 0.9535  data: 0.0200  max mem: 10468
Epoch: [43] Total time: 0:04:56 (0.9880 s / it)
Averaged stats: lr: 0.000100  loss: 2.5813 (2.6840)  loss_bbox: 1.3177 (1.4043)  loss_giou: 1.2371 (1.2290)  loss_unlabelcons: 0.0573 (0.0507)
epoch imgs: 4800
Epoch: [44]  [  0/300]  eta: 0:13:34  lr: 0.000100  loss: 2.0958 (2.0958)  loss_bbox: 0.8996 (0.8996)  loss_giou: 1.1562 (1.1562)  loss_unlabelcons: 0.0401 (0.0401)  time: 2.7164  data: 1.7455  max mem: 10468
Epoch: [44]  [ 10/300]  eta: 0:05:08  lr: 0.000100  loss: 2.6455 (2.6194)  loss_bbox: 1.3113 (1.3472)  loss_giou: 1.2042 (1.2225)  loss_unlabelcons: 0.0455 (0.0497)  time: 1.0641  data: 0.1691  max mem: 10468
Epoch: [44]  [ 20/300]  eta: 0:04:58  lr: 0.000100  loss: 2.6902 (2.6626)  loss_bbox: 1.3584 (1.3888)  loss_giou: 1.2042 (1.2253)  loss_unlabelcons: 0.0448 (0.0485)  time: 0.9847  data: 0.0240  max mem: 10468
Epoch: [44]  [ 30/300]  eta: 0:04:28  lr: 0.000100  loss: 2.6414 (2.6406)  loss_bbox: 1.3607 (1.3842)  loss_giou: 1.1844 (1.2025)  loss_unlabelcons: 0.0441 (0.0539)  time: 0.9582  data: 0.0240  max mem: 10468
Epoch: [44]  [ 40/300]  eta: 0:04:20  lr: 0.000100  loss: 2.6071 (2.6465)  loss_bbox: 1.3605 (1.3891)  loss_giou: 1.1893 (1.2061)  loss_unlabelcons: 0.0425 (0.0512)  time: 0.9341  data: 0.0246  max mem: 10468
Epoch: [44]  [ 50/300]  eta: 0:04:06  lr: 0.000100  loss: 2.7038 (2.7023)  loss_bbox: 1.4238 (1.4306)  loss_giou: 1.2459 (1.2165)  loss_unlabelcons: 0.0534 (0.0552)  time: 0.9666  data: 0.0364  max mem: 10468
Epoch: [44]  [ 60/300]  eta: 0:03:53  lr: 0.000100  loss: 2.7842 (2.7158)  loss_bbox: 1.4598 (1.4335)  loss_giou: 1.2614 (1.2275)  loss_unlabelcons: 0.0572 (0.0548)  time: 0.9116  data: 0.0241  max mem: 10468
Epoch: [44]  [ 70/300]  eta: 0:03:42  lr: 0.000100  loss: 2.6888 (2.7358)  loss_bbox: 1.4661 (1.4518)  loss_giou: 1.2836 (1.2287)  loss_unlabelcons: 0.0529 (0.0554)  time: 0.9287  data: 0.0248  max mem: 10468
Epoch: [44]  [ 80/300]  eta: 0:03:34  lr: 0.000100  loss: 2.6649 (2.7311)  loss_bbox: 1.3936 (1.4453)  loss_giou: 1.2322 (1.2289)  loss_unlabelcons: 0.0617 (0.0570)  time: 0.9794  data: 0.0356  max mem: 10468
Epoch: [44]  [ 90/300]  eta: 0:03:21  lr: 0.000100  loss: 2.7956 (2.7467)  loss_bbox: 1.3988 (1.4550)  loss_giou: 1.2480 (1.2369)  loss_unlabelcons: 0.0415 (0.0548)  time: 0.9319  data: 0.0239  max mem: 10468
Epoch: [44]  [100/300]  eta: 0:03:13  lr: 0.000100  loss: 2.8215 (2.7544)  loss_bbox: 1.4441 (1.4602)  loss_giou: 1.2785 (1.2410)  loss_unlabelcons: 0.0382 (0.0532)  time: 0.9502  data: 0.0248  max mem: 10468
Epoch: [44]  [110/300]  eta: 0:03:04  lr: 0.000100  loss: 2.6096 (2.7329)  loss_bbox: 1.3862 (1.4443)  loss_giou: 1.2006 (1.2362)  loss_unlabelcons: 0.0361 (0.0523)  time: 1.0257  data: 0.0240  max mem: 10468
Epoch: [44]  [120/300]  eta: 0:02:55  lr: 0.000100  loss: 2.5805 (2.7259)  loss_bbox: 1.3041 (1.4361)  loss_giou: 1.2153 (1.2379)  loss_unlabelcons: 0.0458 (0.0519)  time: 0.9862  data: 0.0238  max mem: 10468
Epoch: [44]  [130/300]  eta: 0:02:45  lr: 0.000100  loss: 2.5040 (2.7111)  loss_bbox: 1.2655 (1.4259)  loss_giou: 1.1966 (1.2333)  loss_unlabelcons: 0.0471 (0.0519)  time: 0.9686  data: 0.0356  max mem: 10468
Epoch: [44]  [140/300]  eta: 0:02:35  lr: 0.000100  loss: 2.5109 (2.7059)  loss_bbox: 1.2963 (1.4228)  loss_giou: 1.1966 (1.2318)  loss_unlabelcons: 0.0415 (0.0513)  time: 0.9868  data: 0.0241  max mem: 10468
Epoch: [44]  [150/300]  eta: 0:02:26  lr: 0.000100  loss: 2.6023 (2.7018)  loss_bbox: 1.3640 (1.4196)  loss_giou: 1.2215 (1.2307)  loss_unlabelcons: 0.0402 (0.0516)  time: 1.0109  data: 0.0244  max mem: 10468
Epoch: [44]  [160/300]  eta: 0:02:16  lr: 0.000100  loss: 2.6119 (2.6973)  loss_bbox: 1.3098 (1.4138)  loss_giou: 1.2215 (1.2312)  loss_unlabelcons: 0.0528 (0.0523)  time: 0.9889  data: 0.0351  max mem: 10468
Epoch: [44]  [170/300]  eta: 0:02:07  lr: 0.000100  loss: 2.5677 (2.6908)  loss_bbox: 1.2770 (1.4069)  loss_giou: 1.2649 (1.2317)  loss_unlabelcons: 0.0431 (0.0521)  time: 0.9825  data: 0.0239  max mem: 10468
Epoch: [44]  [180/300]  eta: 0:01:57  lr: 0.000100  loss: 2.5458 (2.6822)  loss_bbox: 1.3078 (1.4024)  loss_giou: 1.1827 (1.2280)  loss_unlabelcons: 0.0414 (0.0518)  time: 0.9842  data: 0.0278  max mem: 10468
Epoch: [44]  [190/300]  eta: 0:01:47  lr: 0.000100  loss: 2.6017 (2.6854)  loss_bbox: 1.3354 (1.4019)  loss_giou: 1.2132 (1.2318)  loss_unlabelcons: 0.0458 (0.0517)  time: 0.9496  data: 0.0268  max mem: 10468
Epoch: [44]  [200/300]  eta: 0:01:37  lr: 0.000100  loss: 2.7692 (2.6934)  loss_bbox: 1.3963 (1.4086)  loss_giou: 1.2750 (1.2332)  loss_unlabelcons: 0.0420 (0.0516)  time: 0.9578  data: 0.0240  max mem: 10468
Epoch: [44]  [210/300]  eta: 0:01:28  lr: 0.000100  loss: 2.7321 (2.6916)  loss_bbox: 1.4331 (1.4074)  loss_giou: 1.2438 (1.2321)  loss_unlabelcons: 0.0485 (0.0521)  time: 1.0547  data: 0.0359  max mem: 10468
Epoch: [44]  [220/300]  eta: 0:01:18  lr: 0.000100  loss: 2.7564 (2.6972)  loss_bbox: 1.4331 (1.4118)  loss_giou: 1.2600 (1.2331)  loss_unlabelcons: 0.0509 (0.0523)  time: 1.0156  data: 0.0240  max mem: 10468
Epoch: [44]  [230/300]  eta: 0:01:08  lr: 0.000100  loss: 2.7898 (2.7057)  loss_bbox: 1.4295 (1.4188)  loss_giou: 1.2658 (1.2343)  loss_unlabelcons: 0.0529 (0.0525)  time: 0.9306  data: 0.0247  max mem: 10468
Epoch: [44]  [240/300]  eta: 0:00:59  lr: 0.000100  loss: 2.6832 (2.6996)  loss_bbox: 1.3967 (1.4141)  loss_giou: 1.2277 (1.2329)  loss_unlabelcons: 0.0534 (0.0526)  time: 1.0438  data: 0.0362  max mem: 10468
Epoch: [44]  [250/300]  eta: 0:00:49  lr: 0.000100  loss: 2.6819 (2.6996)  loss_bbox: 1.3550 (1.4135)  loss_giou: 1.2074 (1.2329)  loss_unlabelcons: 0.0597 (0.0533)  time: 1.0986  data: 0.0244  max mem: 10468
Epoch: [44]  [260/300]  eta: 0:00:39  lr: 0.000100  loss: 2.6669 (2.7016)  loss_bbox: 1.4094 (1.4163)  loss_giou: 1.2074 (1.2320)  loss_unlabelcons: 0.0614 (0.0534)  time: 0.9974  data: 0.0248  max mem: 10468
Epoch: [44]  [270/300]  eta: 0:00:29  lr: 0.000100  loss: 2.6296 (2.6898)  loss_bbox: 1.3716 (1.4088)  loss_giou: 1.1446 (1.2274)  loss_unlabelcons: 0.0572 (0.0536)  time: 0.9724  data: 0.0242  max mem: 10468
Epoch: [44]  [280/300]  eta: 0:00:19  lr: 0.000100  loss: 2.5746 (2.6924)  loss_bbox: 1.2991 (1.4117)  loss_giou: 1.1912 (1.2275)  loss_unlabelcons: 0.0453 (0.0532)  time: 1.0302  data: 0.0236  max mem: 10468
Epoch: [44]  [290/300]  eta: 0:00:09  lr: 0.000100  loss: 2.6614 (2.6896)  loss_bbox: 1.3695 (1.4102)  loss_giou: 1.1853 (1.2261)  loss_unlabelcons: 0.0455 (0.0533)  time: 1.0797  data: 0.0324  max mem: 10468
Epoch: [44]  [299/300]  eta: 0:00:00  lr: 0.000100  loss: 2.6604 (2.6902)  loss_bbox: 1.3461 (1.4109)  loss_giou: 1.1728 (1.2263)  loss_unlabelcons: 0.0455 (0.0530)  time: 1.0612  data: 0.0205  max mem: 10468
Epoch: [44] Total time: 0:04:57 (0.9930 s / it)
Averaged stats: lr: 0.000100  loss: 2.6604 (2.6902)  loss_bbox: 1.3461 (1.4109)  loss_giou: 1.1728 (1.2263)  loss_unlabelcons: 0.0455 (0.0530)
Test:  [ 0/76]  eta: 0:02:31  loss: 2.3770 (2.3770)  loss_bbox: 1.2696 (1.2696)  loss_giou: 1.1074 (1.1074)  time: 1.9953  data: 1.7840  max mem: 10468
Test:  [10/76]  eta: 0:00:30  loss: 2.3959 (2.4533)  loss_bbox: 1.2696 (1.2743)  loss_giou: 1.1557 (1.1790)  time: 0.4689  data: 0.1744  max mem: 10468
Test:  [20/76]  eta: 0:00:23  loss: 2.3783 (2.4194)  loss_bbox: 1.2550 (1.2549)  loss_giou: 1.1642 (1.1645)  time: 0.3394  data: 0.0332  max mem: 10468
Test:  [30/76]  eta: 0:00:17  loss: 2.3352 (2.3933)  loss_bbox: 1.1877 (1.2366)  loss_giou: 1.1573 (1.1567)  time: 0.3210  data: 0.0320  max mem: 10468
Test:  [40/76]  eta: 0:00:13  loss: 2.3507 (2.4101)  loss_bbox: 1.2039 (1.2477)  loss_giou: 1.1326 (1.1624)  time: 0.3273  data: 0.0285  max mem: 10468
Test:  [50/76]  eta: 0:00:09  loss: 2.3632 (2.4050)  loss_bbox: 1.2114 (1.2422)  loss_giou: 1.1326 (1.1628)  time: 0.3380  data: 0.0467  max mem: 10468
Test:  [60/76]  eta: 0:00:05  loss: 2.3679 (2.4096)  loss_bbox: 1.2002 (1.2450)  loss_giou: 1.1312 (1.1646)  time: 0.2590  data: 0.0291  max mem: 10468
Test:  [70/76]  eta: 0:00:02  loss: 2.3837 (2.4041)  loss_bbox: 1.1997 (1.2409)  loss_giou: 1.1288 (1.1633)  time: 0.2714  data: 0.0229  max mem: 10468
Test:  [75/76]  eta: 0:00:00  loss: 2.3837 (2.3993)  loss_bbox: 1.1976 (1.2367)  loss_giou: 1.1246 (1.1626)  time: 0.2713  data: 0.0231  max mem: 10468
Test: Total time: 0:00:24 (0.3285 s / it)
Averaged stats: loss: 2.3837 (2.3993)  loss_bbox: 1.1976 (1.2367)  loss_giou: 1.1246 (1.1626)
Accumulating evaluation results...
DONE (t=0.06s).
IoU metric: bbox
Average Precision  (AP) @[ IoU=0.50:0.95 | area=   all | maxDets=100 ] = 0.029
Average Precision  (AP) @[ IoU=0.50      | area=   all | maxDets=100 ] = 0.158
Average Precision  (AP) @[ IoU=0.75      | area=   all | maxDets=100 ] = 0.001
Average Precision  (AP) @[ IoU=0.50:0.95 | area= small | maxDets=100 ] = -1.000
Average Precision  (AP) @[ IoU=0.50:0.95 | area=medium | maxDets=100 ] = 0.000
Average Precision  (AP) @[ IoU=0.50:0.95 | area= large | maxDets=100 ] = 0.029
Average Recall     (AR) @[ IoU=0.50:0.95 | area=   all | maxDets=  1 ] = 0.062
Average Recall     (AR) @[ IoU=0.50:0.95 | area=   all | maxDets= 10 ] = 0.105
Average Recall     (AR) @[ IoU=0.50:0.95 | area=   all | maxDets=100 ] = 0.105
Average Recall     (AR) @[ IoU=0.50:0.95 | area= small | maxDets=100 ] = -1.000
Average Recall     (AR) @[ IoU=0.50:0.95 | area=medium | maxDets=100 ] = 0.000
Average Recall     (AR) @[ IoU=0.50:0.95 | area= large | maxDets=100 ] = 0.106
epoch imgs: 4800
Epoch: [45]  [  0/300]  eta: 0:11:42  lr: 0.000100  loss: 2.7299 (2.7299)  loss_bbox: 1.4965 (1.4965)  loss_giou: 1.1934 (1.1934)  loss_unlabelcons: 0.0399 (0.0399)  time: 2.3410  data: 1.5446  max mem: 10468
Epoch: [45]  [ 10/300]  eta: 0:05:35  lr: 0.000100  loss: 2.7100 (2.6855)  loss_bbox: 1.3617 (1.3963)  loss_giou: 1.2890 (1.2422)  loss_unlabelcons: 0.0496 (0.0470)  time: 1.1565  data: 0.1575  max mem: 10468
Epoch: [45]  [ 20/300]  eta: 0:04:58  lr: 0.000100  loss: 2.5268 (2.6251)  loss_bbox: 1.2388 (1.3594)  loss_giou: 1.2329 (1.2196)  loss_unlabelcons: 0.0391 (0.0461)  time: 1.0032  data: 0.0271  max mem: 10468
Epoch: [45]  [ 30/300]  eta: 0:04:32  lr: 0.000100  loss: 2.5225 (2.6556)  loss_bbox: 1.3575 (1.3733)  loss_giou: 1.2051 (1.2334)  loss_unlabelcons: 0.0439 (0.0490)  time: 0.9258  data: 0.0233  max mem: 10468
Epoch: [45]  [ 40/300]  eta: 0:04:29  lr: 0.000100  loss: 2.6881 (2.6738)  loss_bbox: 1.4082 (1.3921)  loss_giou: 1.2460 (1.2297)  loss_unlabelcons: 0.0559 (0.0520)  time: 1.0060  data: 0.0234  max mem: 10468
Epoch: [45]  [ 50/300]  eta: 0:04:13  lr: 0.000100  loss: 2.6762 (2.6780)  loss_bbox: 1.4353 (1.3958)  loss_giou: 1.1873 (1.2296)  loss_unlabelcons: 0.0576 (0.0526)  time: 1.0269  data: 0.0356  max mem: 10468
Epoch: [45]  [ 60/300]  eta: 0:04:03  lr: 0.000100  loss: 2.6251 (2.6898)  loss_bbox: 1.4078 (1.4053)  loss_giou: 1.2061 (1.2313)  loss_unlabelcons: 0.0596 (0.0531)  time: 0.9672  data: 0.0236  max mem: 10468
Epoch: [45]  [ 70/300]  eta: 0:03:48  lr: 0.000100  loss: 2.7286 (2.7100)  loss_bbox: 1.4569 (1.4169)  loss_giou: 1.2613 (1.2379)  loss_unlabelcons: 0.0605 (0.0553)  time: 0.9309  data: 0.0239  max mem: 10468
Epoch: [45]  [ 80/300]  eta: 0:03:40  lr: 0.000100  loss: 2.6949 (2.6959)  loss_bbox: 1.3800 (1.4108)  loss_giou: 1.1855 (1.2278)  loss_unlabelcons: 0.0719 (0.0572)  time: 0.9644  data: 0.0360  max mem: 10468
Epoch: [45]  [ 90/300]  eta: 0:03:28  lr: 0.000100  loss: 2.4585 (2.6732)  loss_bbox: 1.2656 (1.3950)  loss_giou: 1.1328 (1.2214)  loss_unlabelcons: 0.0539 (0.0568)  time: 0.9981  data: 0.0234  max mem: 10468
Epoch: [45]  [100/300]  eta: 0:03:21  lr: 0.000100  loss: 2.5365 (2.6887)  loss_bbox: 1.2688 (1.4040)  loss_giou: 1.2270 (1.2277)  loss_unlabelcons: 0.0539 (0.0571)  time: 1.0216  data: 0.0264  max mem: 10468
Epoch: [45]  [110/300]  eta: 0:03:10  lr: 0.000100  loss: 2.5631 (2.6814)  loss_bbox: 1.3065 (1.3992)  loss_giou: 1.2434 (1.2243)  loss_unlabelcons: 0.0609 (0.0580)  time: 1.0529  data: 0.0266  max mem: 10468
Epoch: [45]  [120/300]  eta: 0:03:01  lr: 0.000100  loss: 2.5665 (2.6765)  loss_bbox: 1.3088 (1.3958)  loss_giou: 1.1930 (1.2236)  loss_unlabelcons: 0.0489 (0.0570)  time: 1.0347  data: 0.0244  max mem: 10468
Epoch: [45]  [130/300]  eta: 0:02:52  lr: 0.000100  loss: 2.6346 (2.6844)  loss_bbox: 1.3641 (1.4028)  loss_giou: 1.2230 (1.2248)  loss_unlabelcons: 0.0459 (0.0568)  time: 1.0577  data: 0.0370  max mem: 10468
Epoch: [45]  [140/300]  eta: 0:02:43  lr: 0.000100  loss: 2.6932 (2.6877)  loss_bbox: 1.4082 (1.4080)  loss_giou: 1.2505 (1.2221)  loss_unlabelcons: 0.0578 (0.0576)  time: 1.0748  data: 0.0241  max mem: 10468
Epoch: [45]  [150/300]  eta: 0:02:33  lr: 0.000100  loss: 2.6932 (2.6854)  loss_bbox: 1.3970 (1.4052)  loss_giou: 1.2505 (1.2219)  loss_unlabelcons: 0.0666 (0.0583)  time: 1.1060  data: 0.0236  max mem: 10468
Epoch: [45]  [160/300]  eta: 0:02:23  lr: 0.000100  loss: 2.6806 (2.6869)  loss_bbox: 1.3889 (1.4051)  loss_giou: 1.2330 (1.2233)  loss_unlabelcons: 0.0590 (0.0585)  time: 1.0381  data: 0.0359  max mem: 10468
Epoch: [45]  [170/300]  eta: 0:02:12  lr: 0.000100  loss: 2.5231 (2.6788)  loss_bbox: 1.2542 (1.4002)  loss_giou: 1.2171 (1.2198)  loss_unlabelcons: 0.0626 (0.0587)  time: 0.9935  data: 0.0238  max mem: 10468
Epoch: [45]  [180/300]  eta: 0:02:02  lr: 0.000100  loss: 2.5279 (2.6786)  loss_bbox: 1.2643 (1.4019)  loss_giou: 1.1667 (1.2174)  loss_unlabelcons: 0.0626 (0.0592)  time: 1.0356  data: 0.0239  max mem: 10468
Epoch: [45]  [190/300]  eta: 0:01:52  lr: 0.000100  loss: 2.6470 (2.6799)  loss_bbox: 1.4279 (1.4057)  loss_giou: 1.2207 (1.2159)  loss_unlabelcons: 0.0537 (0.0584)  time: 1.0278  data: 0.0238  max mem: 10468
Epoch: [45]  [200/300]  eta: 0:01:42  lr: 0.000100  loss: 2.6648 (2.6807)  loss_bbox: 1.4065 (1.4048)  loss_giou: 1.2308 (1.2176)  loss_unlabelcons: 0.0457 (0.0583)  time: 1.0369  data: 0.0239  max mem: 10468
Epoch: [45]  [210/300]  eta: 0:01:31  lr: 0.000100  loss: 2.5337 (2.6723)  loss_bbox: 1.3184 (1.3978)  loss_giou: 1.1883 (1.2162)  loss_unlabelcons: 0.0561 (0.0584)  time: 0.9794  data: 0.0359  max mem: 10468
Epoch: [45]  [220/300]  eta: 0:01:20  lr: 0.000100  loss: 2.6109 (2.6754)  loss_bbox: 1.3560 (1.4013)  loss_giou: 1.1951 (1.2158)  loss_unlabelcons: 0.0519 (0.0583)  time: 0.8728  data: 0.0235  max mem: 10468
Epoch: [45]  [230/300]  eta: 0:01:11  lr: 0.000100  loss: 2.7438 (2.6716)  loss_bbox: 1.4684 (1.3983)  loss_giou: 1.2115 (1.2149)  loss_unlabelcons: 0.0467 (0.0584)  time: 1.0074  data: 0.0239  max mem: 10468
Epoch: [45]  [240/300]  eta: 0:01:00  lr: 0.000100  loss: 2.6804 (2.6693)  loss_bbox: 1.3677 (1.3966)  loss_giou: 1.1980 (1.2143)  loss_unlabelcons: 0.0529 (0.0584)  time: 1.0340  data: 0.0363  max mem: 10468
